models,year,transmission,Petrol
 I10,2017,Manual,yes
 Polo,2017,Manual,yes
 2 Series,2019,Semi-Auto,no
 Yeti Outdoor,2017,Manual,yes
 Fiesta,2017,Manual,yes
 C-HR,2019,Automatic,no
 Kuga,2019,Manual,yes
 Tiguan,2019,Semi-Auto,yes
 Fiesta,2018,Manual,yes
 A Class,2017,Manual,no
 Kuga,2017,Semi-Auto,no
 1 Series,2016,Manual,no
 Up,2017,Manual,yes
 Golf,2019,Manual,yes
